,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Audio Text,Transcript Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL,Audio URL,Transcript URL
18,City and School District Select Committee,10/25/2012,,3:30 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=211084&GUID=DF7E6491-EE25-4322-B3E0-9C5BBE595E4A,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=211084&GUID=DF7E6491-EE25-4322-B3E0-9C5BBE595E4A&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=211084&GUID=DF7E6491-EE25-4322-B3E0-9C5BBE595E4A,https://sfgov.legistar.com/View.ashx?M=M&ID=211084&GUID=DF7E6491-EE25-4322-B3E0-9C5BBE595E4A,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
19,Government Audit and Oversight Committee,10/25/2012,,1:00 PM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=213865&GUID=1E6DAB70-EDC1-4C07-A7DC-4CF020ED80A9,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=213865&GUID=1E6DAB70-EDC1-4C07-A7DC-4CF020ED80A9&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=213865&GUID=1E6DAB70-EDC1-4C07-A7DC-4CF020ED80A9,https://sfgov.legistar.com/View.ashx?M=M&ID=213865&GUID=1E6DAB70-EDC1-4C07-A7DC-4CF020ED80A9,,,
20,Budget and Finance Committee,10/24/2012,,11:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=213665&GUID=AA46EC4D-B21F-4479-B210-864175C4E24A,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=213665&GUID=AA46EC4D-B21F-4479-B210-864175C4E24A&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=213665&GUID=AA46EC4D-B21F-4479-B210-864175C4E24A,https://sfgov.legistar.com/View.ashx?M=M&ID=213665&GUID=AA46EC4D-B21F-4479-B210-864175C4E24A,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
21,Board of Supervisors,10/23/2012,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=214134&GUID=938CCE50-0D5D-4A10-BC4C-4C0F5EE177CB,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=214134&GUID=938CCE50-0D5D-4A10-BC4C-4C0F5EE177CB&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=214134&GUID=938CCE50-0D5D-4A10-BC4C-4C0F5EE177CB,https://sfgov.legistar.com/View.ashx?M=M&ID=214134&GUID=938CCE50-0D5D-4A10-BC4C-4C0F5EE177CB,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
22,Land Use and Economic Development Committee,10/22/2012,,1:00 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=213866&GUID=515C4E89-6B16-413C-88A8-6A1C77ACDADD,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=213866&GUID=515C4E89-6B16-413C-88A8-6A1C77ACDADD&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=213866&GUID=515C4E89-6B16-413C-88A8-6A1C77ACDADD,https://sfgov.legistar.com/View.ashx?M=M&ID=213866&GUID=515C4E89-6B16-413C-88A8-6A1C77ACDADD,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
23,City Operations and Neighborhood Services Committee,10/22/2012,,10:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=213692&GUID=289EDD4A-B989-4895-B22C-C6C25328AA41,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=213692&GUID=289EDD4A-B989-4895-B22C-C6C25328AA41&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=213692&GUID=289EDD4A-B989-4895-B22C-C6C25328AA41,https://sfgov.legistar.com/View.ashx?M=M&ID=213692&GUID=289EDD4A-B989-4895-B22C-C6C25328AA41,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
24,Rules Committee,10/18/2012,,1:30 PM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=213612&GUID=59DCF571-88DB-4AF3-918C-B791242C448F,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=213612&GUID=59DCF571-88DB-4AF3-918C-B791242C448F&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=213612&GUID=59DCF571-88DB-4AF3-918C-B791242C448F,https://sfgov.legistar.com/View.ashx?M=M&ID=213612&GUID=59DCF571-88DB-4AF3-918C-B791242C448F,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
25,Budget and Finance Committee,10/17/2012,,11:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=213465&GUID=D0FF8085-0F41-45D1-BA0B-AB8896A8F374,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=213465&GUID=D0FF8085-0F41-45D1-BA0B-AB8896A8F374&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=213465&GUID=D0FF8085-0F41-45D1-BA0B-AB8896A8F374,https://sfgov.legistar.com/View.ashx?M=M&ID=213465&GUID=D0FF8085-0F41-45D1-BA0B-AB8896A8F374,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
26,Board of Supervisors,10/16/2012,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=213621&GUID=E7B09AB8-E123-4902-A079-9C360EBB13F3,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=213621&GUID=E7B09AB8-E123-4902-A079-9C360EBB13F3&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=213621&GUID=E7B09AB8-E123-4902-A079-9C360EBB13F3,https://sfgov.legistar.com/View.ashx?M=M&ID=213621&GUID=E7B09AB8-E123-4902-A079-9C360EBB13F3,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
27,Rules Committee,10/15/2012,,5:30 PM,"City Hall, Legislative Chamber, Room 250Special Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=213561&GUID=E0CE8FDF-0EBB-448D-BB35-C86A29EB02DC,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=213561&GUID=E0CE8FDF-0EBB-448D-BB35-C86A29EB02DC&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=213561&GUID=E0CE8FDF-0EBB-448D-BB35-C86A29EB02DC,https://sfgov.legistar.com/View.ashx?M=M&ID=213561&GUID=E0CE8FDF-0EBB-448D-BB35-C86A29EB02DC,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
28,Land Use and Economic Development Committee,10/15/2012,,1:00 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=213556&GUID=26389740-A6E5-4319-AB61-B9DC32882A62,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=213556&GUID=26389740-A6E5-4319-AB61-B9DC32882A62&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=213556&GUID=26389740-A6E5-4319-AB61-B9DC32882A62,https://sfgov.legistar.com/View.ashx?M=M&ID=213556&GUID=26389740-A6E5-4319-AB61-B9DC32882A62,,,
29,Government Audit and Oversight Committee,10/11/2012,,1:00 PM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=213220&GUID=7F3A1FDD-985F-4D32-8585-F2A18B29E0A1,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=213220&GUID=7F3A1FDD-985F-4D32-8585-F2A18B29E0A1&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=213220&GUID=7F3A1FDD-985F-4D32-8585-F2A18B29E0A1,https://sfgov.legistar.com/View.ashx?M=M&ID=213220&GUID=7F3A1FDD-985F-4D32-8585-F2A18B29E0A1,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
30,Budget and Finance Committee,10/10/2012,,11:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=210928&GUID=F34F9891-9798-43F5-B5A4-1FA7B8A4E7F6,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=210928&GUID=F34F9891-9798-43F5-B5A4-1FA7B8A4E7F6&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=210928&GUID=F34F9891-9798-43F5-B5A4-1FA7B8A4E7F6,https://sfgov.legistar.com/View.ashx?M=M&ID=210928&GUID=F34F9891-9798-43F5-B5A4-1FA7B8A4E7F6,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
31,Board of Supervisors,10/9/2012,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Special Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=210564&GUID=ED1CCF15-3A62-4385-9A9C-DF45614CF0BC,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=210564&GUID=ED1CCF15-3A62-4385-9A9C-DF45614CF0BC&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=210564&GUID=ED1CCF15-3A62-4385-9A9C-DF45614CF0BC,https://sfgov.legistar.com/View.ashx?M=M&ID=210564&GUID=ED1CCF15-3A62-4385-9A9C-DF45614CF0BC,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
32,Rules Committee,10/4/2012,,1:30 PM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=210291&GUID=027698E0-4129-4A6E-A5B4-C729584CE46A,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=210291&GUID=027698E0-4129-4A6E-A5B4-C729584CE46A&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=210291&GUID=027698E0-4129-4A6E-A5B4-C729584CE46A,https://sfgov.legistar.com/View.ashx?M=M&ID=210291&GUID=027698E0-4129-4A6E-A5B4-C729584CE46A,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
33,Public Safety Committee,10/4/2012,,10:30 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=210626&GUID=7531A897-F818-4472-B69E-C3C2046A592A,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=210626&GUID=7531A897-F818-4472-B69E-C3C2046A592A&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=210626&GUID=7531A897-F818-4472-B69E-C3C2046A592A,https://sfgov.legistar.com/View.ashx?M=M&ID=210626&GUID=7531A897-F818-4472-B69E-C3C2046A592A,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
34,Budget and Finance Committee,10/3/2012,,11:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=210365&GUID=0C0D87B0-D7C8-4C3E-BB54-809C4DCE0824,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=210365&GUID=0C0D87B0-D7C8-4C3E-BB54-809C4DCE0824&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=210365&GUID=0C0D87B0-D7C8-4C3E-BB54-809C4DCE0824,https://sfgov.legistar.com/View.ashx?M=M&ID=210365&GUID=0C0D87B0-D7C8-4C3E-BB54-809C4DCE0824,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
35,Board of Supervisors,10/2/2012,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=210745&GUID=8839921D-020A-4C7D-A66C-A79E65176173,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=210745&GUID=8839921D-020A-4C7D-A66C-A79E65176173&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=210745&GUID=8839921D-020A-4C7D-A66C-A79E65176173,https://sfgov.legistar.com/View.ashx?M=M&ID=210745&GUID=8839921D-020A-4C7D-A66C-A79E65176173,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
36,Land Use and Economic Development Committee,10/1/2012,,1:00 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=210604&GUID=87C7A0DC-35F7-49C9-9C8D-0F240A33F0EC,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=210604&GUID=87C7A0DC-35F7-49C9-9C8D-0F240A33F0EC&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=210604&GUID=87C7A0DC-35F7-49C9-9C8D-0F240A33F0EC,https://sfgov.legistar.com/View.ashx?M=M&ID=210604&GUID=87C7A0DC-35F7-49C9-9C8D-0F240A33F0EC,,,
37,City and School District Select Committee,9/27/2012,,3:30 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=207944&GUID=8DFA3D89-7053-4FD6-8574-1D10320BB081,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=207944&GUID=8DFA3D89-7053-4FD6-8574-1D10320BB081&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=207944&GUID=8DFA3D89-7053-4FD6-8574-1D10320BB081,https://sfgov.legistar.com/View.ashx?M=M&ID=207944&GUID=8DFA3D89-7053-4FD6-8574-1D10320BB081,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
38,Government Audit and Oversight Committee,9/27/2012,,1:00 PM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=209995&GUID=0836E964-7F28-44B7-9831-75014A47A205,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=209995&GUID=0836E964-7F28-44B7-9831-75014A47A205&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=209995&GUID=0836E964-7F28-44B7-9831-75014A47A205,https://sfgov.legistar.com/View.ashx?M=M&ID=209995&GUID=0836E964-7F28-44B7-9831-75014A47A205,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
39,Budget and Finance Committee,9/26/2012,,11:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=209824&GUID=B09AA4AF-9B65-4E7B-BF99-AFFFE4A6B786,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=209824&GUID=B09AA4AF-9B65-4E7B-BF99-AFFFE4A6B786&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=209824&GUID=B09AA4AF-9B65-4E7B-BF99-AFFFE4A6B786,https://sfgov.legistar.com/View.ashx?M=M&ID=209824&GUID=B09AA4AF-9B65-4E7B-BF99-AFFFE4A6B786,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
40,Board of Supervisors,9/25/2012,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=210124&GUID=746AC876-E495-45EE-A68C-6434025855E8,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=210124&GUID=746AC876-E495-45EE-A68C-6434025855E8&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=210124&GUID=746AC876-E495-45EE-A68C-6434025855E8,https://sfgov.legistar.com/View.ashx?M=M&ID=210124&GUID=746AC876-E495-45EE-A68C-6434025855E8,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
41,Land Use and Economic Development Committee,9/24/2012,,1:00 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=210009&GUID=5996254A-9543-474E-8769-0EC80D91DCB1,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=210009&GUID=5996254A-9543-474E-8769-0EC80D91DCB1&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=210009&GUID=5996254A-9543-474E-8769-0EC80D91DCB1,https://sfgov.legistar.com/View.ashx?M=M&ID=210009&GUID=5996254A-9543-474E-8769-0EC80D91DCB1,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
42,City Operations and Neighborhood Services Committee,9/24/2012,,10:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=210022&GUID=1F02279C-B970-4999-AC1C-EC6619290CEA,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=210022&GUID=1F02279C-B970-4999-AC1C-EC6619290CEA&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=210022&GUID=1F02279C-B970-4999-AC1C-EC6619290CEA,https://sfgov.legistar.com/View.ashx?M=M&ID=210022&GUID=1F02279C-B970-4999-AC1C-EC6619290CEA,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
43,Rules Committee,9/20/2012,,1:30 PM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=209034&GUID=B0857397-B520-4465-BBD1-A38AB2D410F4,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=209034&GUID=B0857397-B520-4465-BBD1-A38AB2D410F4&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=209034&GUID=B0857397-B520-4465-BBD1-A38AB2D410F4,https://sfgov.legistar.com/View.ashx?M=M&ID=209034&GUID=B0857397-B520-4465-BBD1-A38AB2D410F4,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
44,Public Safety Committee,9/20/2012,,10:30 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=209113&GUID=BF8AEE38-2E40-483C-8A79-D507C18645F2,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=209113&GUID=BF8AEE38-2E40-483C-8A79-D507C18645F2&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=209113&GUID=BF8AEE38-2E40-483C-8A79-D507C18645F2,https://sfgov.legistar.com/View.ashx?M=M&ID=209113&GUID=BF8AEE38-2E40-483C-8A79-D507C18645F2,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
45,Budget and Finance Committee,9/19/2012,,11:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=208799&GUID=7B9A8B9D-18AB-4B8C-9F3D-83087FA3AE43,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=208799&GUID=7B9A8B9D-18AB-4B8C-9F3D-83087FA3AE43&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=208799&GUID=7B9A8B9D-18AB-4B8C-9F3D-83087FA3AE43,https://sfgov.legistar.com/View.ashx?M=M&ID=208799&GUID=7B9A8B9D-18AB-4B8C-9F3D-83087FA3AE43,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
46,Board of Supervisors,9/18/2012,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=209069&GUID=723A4624-C09C-4B4F-BEEB-9EEAA3F66C2B,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=209069&GUID=723A4624-C09C-4B4F-BEEB-9EEAA3F66C2B&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=209069&GUID=723A4624-C09C-4B4F-BEEB-9EEAA3F66C2B,https://sfgov.legistar.com/View.ashx?M=M&ID=209069&GUID=723A4624-C09C-4B4F-BEEB-9EEAA3F66C2B,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
47,Land Use and Economic Development Committee,9/17/2012,,1:00 PM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=208802&GUID=D88CA9F1-7EEC-41B7-97F7-3A5954231F49,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=208802&GUID=D88CA9F1-7EEC-41B7-97F7-3A5954231F49&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=208802&GUID=D88CA9F1-7EEC-41B7-97F7-3A5954231F49,https://sfgov.legistar.com/View.ashx?M=M&ID=208802&GUID=D88CA9F1-7EEC-41B7-97F7-3A5954231F49,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
48,Budget and Finance Committee,9/12/2012,,11:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=201995&GUID=4C2B44E9-A032-42BB-868B-ECDDE899558B,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=201995&GUID=4C2B44E9-A032-42BB-868B-ECDDE899558B&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=201995&GUID=4C2B44E9-A032-42BB-868B-ECDDE899558B,https://sfgov.legistar.com/View.ashx?M=M&ID=201995&GUID=4C2B44E9-A032-42BB-868B-ECDDE899558B,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
49,Board of Supervisors,9/11/2012,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=208525&GUID=55058BA3-D354-403A-8065-0F311E744C51,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=208525&GUID=55058BA3-D354-403A-8065-0F311E744C51&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=208525&GUID=55058BA3-D354-403A-8065-0F311E744C51,https://sfgov.legistar.com/View.ashx?M=M&ID=208525&GUID=55058BA3-D354-403A-8065-0F311E744C51,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
50,Land Use and Economic Development Committee,9/10/2012,,1:00 PM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=208281&GUID=06AF94F8-E82E-4266-BC48-19E2165A1447,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=208281&GUID=06AF94F8-E82E-4266-BC48-19E2165A1447&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=208281&GUID=06AF94F8-E82E-4266-BC48-19E2165A1447,https://sfgov.legistar.com/View.ashx?M=M&ID=208281&GUID=06AF94F8-E82E-4266-BC48-19E2165A1447,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
51,City Operations and Neighborhood Services Committee,9/10/2012,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=208557&GUID=9F163656-AEB3-4DFE-A0D2-59E1CCEA976D,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=208557&GUID=9F163656-AEB3-4DFE-A0D2-59E1CCEA976D&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=208557&GUID=9F163656-AEB3-4DFE-A0D2-59E1CCEA976D,https://sfgov.legistar.com/View.ashx?M=M&ID=208557&GUID=9F163656-AEB3-4DFE-A0D2-59E1CCEA976D,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
52,Rules Committee,9/6/2012,,1:30 PM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=208203&GUID=F88B7F2A-0466-489F-86E2-07D859342AC3,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=208203&GUID=F88B7F2A-0466-489F-86E2-07D859342AC3&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=208203&GUID=F88B7F2A-0466-489F-86E2-07D859342AC3,https://sfgov.legistar.com/View.ashx?M=M&ID=208203&GUID=F88B7F2A-0466-489F-86E2-07D859342AC3,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
